model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.150,acceptance_rate,0.5174305556,0.0019070797,0.5000000000,4977,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.150,binder,0.6635509391,0.0004008249,0.5000000000,5239,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.150,xi_over_L,0.0334618062,0.0354773258,0.5000000000,5239,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.150,susceptibility,0.2878475673,0.0394469698,0.5000000000,5239,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.150,structure_factor_kmin,0.2774808543,0.0196872640,0.5000000000,5239,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.150,magnetization_abs,1.3746094774,0.0061477729,0.5000000000,5239,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.150,acceptance_rate,0.5133854167,0.0013966226,0.5000000000,5239,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.150,binder,0.6647010089,0.0002362434,0.5000000000,5501,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.150,xi_over_L,0.0000000000,0.0128785925,0.5000000000,5501,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.150,susceptibility,0.2764434642,0.0307231774,0.5000000000,5501,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
